0.0,0.0
0.002,2.0577920398459935e-11
0.004,9.717263835912969e-12
0.006,8.74715807602488e-12
0.008,8.268168072637125e-12
0.01,1.8732488920752516e-11
0.012,1.5659706584244878e-11
0.014,4.507397503206215e-12
0.016,1.9912613578114705e-12
0.018000000000000002,2.8194949743335644e-12
0.02,3.2939397691603677e-12
0.022,4.861161015106929e-12
0.024,6.4692807261524675e-12
0.026000000000000002,5.942903829238589e-12
0.028,2.6843118923503332e-12
0.030000000000000002,1.7750149461965777e-12
0.032,3.250260284355604e-12
0.034,3.2544139075569144e-12
0.036000000000000004,4.343084716270188e-12
0.038,9.315388293069752e-12
0.04,1.1458935606561917e-11
0.042,1.1308379435433239e-11
0.044,1.3600382428661236e-11
0.04599999999999999,1.0712999570474459e-11
0.048,7.311563041586878e-12
0.049999999999999996,8.637422448582471e-12
0.052000000000000005,1.0482626588510849e-11
0.054,8.453814809972736e-12
0.056,1.1924818714707096e-11
0.058,1.9184765448316637e-11
0.060000000000000005,1.040204428566784e-11
0.062,6.902046591602501e-12
0.064,1.2177712169357192e-11
0.066,4.145280691095103e-12
0.068,4.145783083669935e-12
0.07,4.902808711814934e-12
0.07200000000000001,9.365446590074573e-13
0.074,4.356362094675664e-12
0.076,3.856191854989194e-12
0.078,3.98212872013116e-12
0.08,4.052251356008674e-11
0.082,1.1437206905893455e-10
0.084,1.1620468628539969e-11
0.08600000000000001,5.26314602160958e-11
0.088,8.833456883574832e-10
0.09,1.8821504581395977e-09
0.09199999999999998,1.541449359776759e-09
0.094,4.007951199451746e-10
0.096,2.995153789426278e-11
0.098,1.3724031680548917e-11
0.09999999999999999,3.8767605583263714e-12
